"Time
(hours)","MSE1
24-hr (depth)","MSE2
24-hr
(depth)","MSE3
24-hr
(depth)","MSE4
24-hr
(depth)","MSE5
24-hr
(depth)","MSE6
24-hr
(depth)","Type I
24-hr
(depth)","Type IA
24-hr
(depth)","Type II
6-hr
(depth)","Type II
12-hr
(depth)","Type II
24-hr
(depth)","Type III
6-hr
(depth)","Type III
12-hr
(depth)","Type III
24-hr
(depth)"
19.4,0.98088,0.97359,0.96729,0.95973,0.95124,0.94263,0.91904,0.897438,,,0.94375,,,0.94893
19.5,0.98164,0.97457,0.96844,0.96109,0.95282,0.94441,0.92125,0.90001,,,0.945187,,,0.950312
19.6,0.98239,0.97553,0.96958,0.96242,0.95437,0.94616,0.92344,0.902566,,,0.9466,,,0.95168
19.7,0.98313,0.97647,0.97069,0.96374,0.9559,0.9479,0.92561,0.905108,,,0.947987,,,0.953032
19.8,0.98385,0.9774,0.97179,0.96503,0.95741,0.94961,0.92776,0.907634,,,0.94935,,,0.95437
19.9,0.98455,0.9783,0.97286,0.9663,0.95889,0.95129,0.92989,0.910144,,,0.950688,,,0.955692
20,0.98524,0.97919,0.97392,0.96755,0.96035,0.95296,0.932,0.91264,,,0.952,,,0.957
20.1,0.98591,0.98006,0.97496,0.96877,0.96179,0.9546,0.93409,0.91512,,,0.953297,,,0.958294
20.2,0.98657,0.98091,0.97597,0.96998,0.96321,0.95621,0.93616,0.917586,,,0.95459,,,0.959577
20.3,0.98721,0.98175,0.97697,0.97117,0.9646,0.9578,0.93821,0.920036,,,0.955877,,,0.960849
20.4,0.98784,0.98256,0.97795,0.97233,0.96597,0.95937,0.94024,0.92247,,,0.95716,,,0.96211
20.5,0.98845,0.98336,0.97891,0.97347,0.96731,0.96091,0.94225,0.92489,,,0.958437,,,0.963359
20.6,0.98904,0.98414,0.97984,0.97459,0.96864,0.96243,0.94424,0.927294,,,0.95971,,,0.964597
20.7,0.98962,0.9849,0.98076,0.97569,0.96994,0.96393,0.94621,0.929684,,,0.960977,,,0.965824
20.8,0.99018,0.98565,0.98166,0.97677,0.97121,0.9654,0.94816,0.932058,,,0.96224,,,0.96704
20.9,0.99073,0.98637,0.98254,0.97783,0.97247,0.96685,0.95009,0.934416,,,0.963498,,,0.968244
21,0.99126,0.98708,0.9834,0.97886,0.9737,0.96828,0.952,0.93676,,,0.96475,,,0.969437
21.1,0.99178,0.98777,0.98424,0.97988,0.97491,0.96968,0.95389,0.939088,,,0.965997,,,0.970619
21.2,0.99228,0.98845,0.98506,0.98087,0.9761,0.97106,0.95576,0.941402,,,0.96724,,,0.97179
21.3,0.99277,0.9891,0.98586,0.98184,0.97726,0.97241,0.95761,0.9437,,,0.968477,,,0.972949
21.4,0.99324,0.98974,0.98664,0.98279,0.9784,0.97374,0.95944,0.945982,,,0.96971,,,0.974097
21.5,0.99369,0.99036,0.9874,0.98372,0.97952,0.97505,0.96125,0.94825,,,0.970938,,,0.975234
21.6,0.99413,0.99096,0.98814,0.98463,0.98061,0.97633,0.96304,0.950502,,,0.97216,,,0.97636
21.7,0.99455,0.99154,0.98886,0.98551,0.98168,0.97759,0.96481,0.95274,,,0.973378,,,0.977474
21.8,0.99496,0.99211,0.98956,0.98638,0.98273,0.97882,0.96656,0.954962,,,0.97459,,,0.978577
21.9,0.99535,0.99265,0.99024,0.98722,0.98376,0.98004,0.96829,0.957168,,,0.975797,,,0.979669
22,0.99573,0.99318,0.9909,0.98804,0.98476,0.98122,0.97,0.95936,,,0.977,,,0.98075
22.1,0.99609,0.99369,0.99155,0.98884,0.98574,0.98239,0.97169,0.961536,,,0.978197,,,0.981819
22.2,0.99644,0.99419,0.99217,0.98962,0.9867,0.98353,0.97336,0.963698,,,0.97939,,,0.982877
22.3,0.99677,0.99466,0.99277,0.99038,0.98763,0.98465,0.97501,0.965844,,,0.980577,,,0.983924
22.4,0.99708,0.99512,0.99335,0.99112,0.98854,0.98574,0.97664,0.967974,,,0.98176,,,0.98496
22.5,0.99738,0.99556,0.99392,0.99183,0.98943,0.98681,0.97825,0.97009,,,0.982937,,,0.985984
22.6,0.99766,0.99598,0.99446,0.99253,0.99029,0.98785,0.97984,0.97219,,,0.98411,,,0.986997
22.7,0.99793,0.99638,0.99499,0.9932,0.99114,0.98888,0.98141,0.974276,,,0.985277,,,0.987999
22.8,0.99819,0.99677,0.99549,0.99385,0.99196,0.98987,0.98296,0.976346,,,0.98644,,,0.98899
22.9,0.99842,0.99714,0.99597,0.99448,0.99275,0.99085,0.98449,0.9784,,,0.987597,,,0.989969
23,0.99864,0.99749,0.99644,0.99509,0.99353,0.9918,0.986,0.98044,,,0.98875,,,0.990937
23.1,0.99885,0.99782,0.99688,0.99567,0.99428,0.99273,0.98749,0.982464,,,0.989897,,,0.991894
23.2,0.999039,0.99813,0.99731,0.99624,0.995,0.99363,0.98896,0.984474,,,0.99104,,,0.99284
23.3,0.999213,0.99843,0.99771,0.99679,0.99571,0.99451,0.99041,0.986468,,,0.992177,,,0.993774
23.4,0.999372,0.99871,0.9981,0.99731,0.99639,0.99536,0.99184,0.988446,,,0.99331,,,0.994697
23.5,0.999516,0.99897,0.99847,0.99781,0.99705,0.9962,0.99325,0.99041,,,0.994437,,,0.995609
23.6,0.999644,0.99921,0.99881,0.99829,0.99769,0.997,0.99464,0.992358,,,0.99556,,,0.99651
23.7,0.999756,0.999435,0.999139,0.99875,0.9983,0.99779,0.99601,0.994292,,,0.996677,,,0.997399
23.8,0.999853,0.999641,0.999445,0.999188,0.99889,0.99855,0.99736,0.99621,,,0.99779,,,0.998277
23.9,0.999934,0.99983,0.999733,0.999605,0.999456,0.999287,0.99869,0.998112,,,0.998897,,,0.999144
24,1,1,1,1,1,1,1,1,,,1,,,1
