"Time
(hours)","MSE1
24-hr (depth)","MSE2
24-hr
(depth)","MSE3
24-hr
(depth)","MSE4
24-hr
(depth)","MSE5
24-hr
(depth)","MSE6
24-hr
(depth)","Type I
24-hr
(depth)","Type IA
24-hr
(depth)","Type II
6-hr
(depth)","Type II
12-hr
(depth)","Type II
24-hr
(depth)","Type III
6-hr
(depth)","Type III
12-hr
(depth)","Type III
24-hr
(depth)"
3.6,0.01216,0.01744,0.02205,0.02767,0.03403,0.04063,0.066872,0.101473,0.844219,0.102587,0.04248,0.801256,0.11486,0.03792
3.7,0.01279,0.01825,0.02303,0.02883,0.0354,0.0422,0.06911,0.105017,0.855429,0.106677,0.043845,0.816104,0.120114,0.039168
3.8,0.01343,0.01909,0.02403,0.03002,0.03679,0.04379,0.071378,0.108625,0.865904,0.110958,0.04522,0.829654,0.125503,0.04043
3.9,0.01409,0.01994,0.02504,0.03123,0.03821,0.0454,0.073675,0.112289,0.875642,0.115428,0.046605,0.841905,0.131025,0.041708
4,0.01476,0.02081,0.02608,0.03245,0.03965,0.04704,0.076,0.116001,0.884644,0.120089,0.048,0.852858,0.136682,0.043
4.1,0.01545,0.0217,0.02714,0.0337,0.04111,0.04871,0.078345,0.119685,0.893078,0.125,0.04941,0.862992,0.142547,0.044307
4.2,0.01615,0.0226,0.02821,0.03497,0.04259,0.05039,0.080702,0.123421,0.901118,0.130185,0.05084,0.872787,0.148692,0.04563
4.3,0.01687,0.02353,0.02931,0.03626,0.0441,0.0521,0.08307,0.127213,0.908761,0.135655,0.05229,0.882244,0.155117,0.046968
4.4,0.01761,0.02447,0.03042,0.03758,0.04563,0.05384,0.085448,0.131069,0.916008,0.14141,0.05376,0.891362,0.161823,0.04832
4.5,0.01836,0.02543,0.03156,0.03891,0.04718,0.05559,0.087837,0.134997,0.922859,0.147451,0.05525,0.900141,0.168809,0.049688
4.6,0.01912,0.02641,0.03271,0.04027,0.04876,0.05737,0.090238,0.139005,0.929378,0.153859,0.05676,0.908581,0.176075,0.05107
4.7,0.0199,0.0274,0.03389,0.04164,0.05036,0.05918,0.092649,0.143102,0.935606,0.160755,0.05829,0.916683,0.183622,0.052468
4.8,0.0207,0.02842,0.03508,0.04304,0.05198,0.06101,0.095072,0.147294,0.941551,0.168127,0.05984,0.924446,0.191449,0.05388
4.9,0.02151,0.02945,0.0363,0.04446,0.05362,0.06286,0.097505,0.15159,0.947213,0.175975,0.06141,0.93187,0.199556,0.055308
